unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1505865600.0,2017-09-20,ETH/USDT,284.0,294.0,275.91,282.0,1054.54,301038.78,N/A,46.65291815203182,280.8235714285714,-14.46118071779722,0.4532887195609234,-14.914469437358143
1505952000.0,2017-09-21,ETH/USDT,282.0,287.0,252.1,257.0,1909.37,515321.69,N/A,41.54447766653837,275.2885714285714,-14.937876226627225,-0.018725431415264282,-14.91915079521196
1506038400.0,2017-09-22,ETH/USDT,257.0,272.97,253.01,264.0,1463.53,382707.68,N/A,43.41287762093694,272.50357142857143,-14.758060264808023,0.12887242432315205,-14.886932689131175
1506124800.0,2017-09-23,ETH/USDT,264.0,286.23,255.11,285.93,2821.68,788085.05,N/A,48.921095972145444,271.7314285714286,-13.168449329868622,1.3747866874100438,-14.543236017278666
1506211200.0,2017-09-24,ETH/USDT,285.93,294.61,275.0,282.0,5544.62,1574147.48,N/A,48.01901527412754,270.91,-11.995665746720988,2.0380562164461438,-14.033721963167132
1506297600.0,2017-09-25,ETH/USDT,282.0,299.0,281.34,294.42,5861.15,1702847.03,N/A,51.08855617214265,270.70428571428573,-10.200067407190488,3.0669236447813155,-13.266991051971804
1506384000.0,2017-09-26,ETH/USDT,294.42,296.81,286.24,287.9,4527.17,1320510.93,N/A,49.43810963334474,270.27142857142854,-9.044784123298655,3.377765542938519,-12.422549666237174
1506470400.0,2017-09-27,ETH/USDT,287.9,313.0,286.13,309.74,5467.39,1626645.28,N/A,54.71547726189577,272.61642857142857,-6.734151521426952,4.550718515848178,-11.28487003727513
1506556800.0,2017-09-28,ETH/USDT,309.74,311.81,296.89,302.44,6521.08,1984843.83,N/A,52.73421731398444,278.84714285714284,-5.246022628355377,4.831077927135803,-10.07710055549118
1506643200.0,2017-09-29,ETH/USDT,302.44,303.0,274.0,292.22,10997.93,3187358.83,N/A,50.00428899372592,281.6485714285714,-4.605662182030244,4.37715069876875,-8.982812880798994
1506729600.0,2017-09-30,ETH/USDT,292.22,307.49,292.22,304.36,3997.83,1207595.88,N/A,53.10953326525938,285.5807142857143,-3.326897259107284,4.524732497353368,-7.851629756460651
1506816000.0,2017-10-01,ETH/USDT,304.36,306.0,294.0,303.95,5034.38,1511264.71,N/A,52.989830164282736,288.895,-2.292165928276688,4.447571062547171,-6.739736990823859
1506902400.0,2017-10-02,ETH/USDT,303.95,305.0,295.0,296.5,3670.04,1104217.48,N/A,50.751427183979274,289.03285714285715,-1.8806687770838835,3.8872545709919804,-5.767923348075864
1506988800.0,2017-10-03,ETH/USDT,296.5,301.99,283.18,292.48,5518.95,1614235.08,N/A,49.53547487361475,289.6385714285714,-1.7701027295629501,3.198256494810331,-4.968359224373281
1507075200.0,2017-10-04,ETH/USDT,292.48,297.97,288.0,291.99,3989.57,1168807.66,N/A,49.38017339038728,290.3521428571429,-1.6929314299022735,2.620342235576807,-4.31327366547908
1507161600.0,2017-10-05,ETH/USDT,291.99,297.44,285.53,294.81,3370.96,982644.49,N/A,50.34502331397226,293.05285714285714,-1.4471724222249236,2.2928809946033253,-3.740053416828249
1507248000.0,2017-10-06,ETH/USDT,294.81,310.8,293.78,310.8,3510.89,1054697.0,N/A,55.52191664777367,296.3957142857143,-0.28810978720269986,2.761554903700439,-3.049664690903139
1507334400.0,2017-10-07,ETH/USDT,310.8,318.5,303.6,311.01,2120.52,658190.78,N/A,55.587405607571895,298.1871428571429,0.6572921770715539,2.9655654943797547,-2.308273317308201
1507420800.0,2017-10-08,ETH/USDT,311.01,317.07,309.0,311.07,2952.08,921220.96,N/A,55.60751727604279,300.2635714285714,1.4130118552958493,2.97702813808324,-1.564016282787391
1507507200.0,2017-10-09,ETH/USDT,311.07,312.13,286.65,297.19,4852.92,1452816.74,N/A,49.97015956672595,300.4614285714286,1.1829793812259481,2.1975965312106713,-1.0146171499847232
1507593600.0,2017-10-10,ETH/USDT,297.19,308.56,293.0,298.64,6691.84,2011440.17,N/A,50.53432856261457,301.2285714285714,1.0726275995035053,1.6697957995905828,-0.5971682000870775
1507680000.0,2017-10-11,ETH/USDT,298.64,305.5,298.02,304.01,3715.65,1122578.04,N/A,52.66329628637998,300.81928571428574,1.2917020699780437,1.5110962160520969,-0.21939414607405328
1507766400.0,2017-10-12,ETH/USDT,304.01,310.0,302.71,303.99,7775.58,2381102.13,N/A,52.65420681477772,300.92999999999995,1.453559834482462,1.3383631844452122,0.1151966500372498
1507852800.0,2017-10-13,ETH/USDT,303.99,353.96,297.0,337.96,17766.25,5782386.5,N/A,64.01487446375991,304.19714285714286,3.58212658541089,2.7735439482989124,0.8085826371119779
1507939200.0,2017-10-14,ETH/USDT,337.96,349.8,335.0,342.0,7698.0,2644022.46,N/A,65.08780142571463,306.88571428571424,5.494264085929672,3.7485451590541548,1.7457189268755169
1508025600.0,2017-10-15,ETH/USDT,342.0,348.0,316.17,337.96,9964.35,3311218.81,N/A,63.06289154172295,309.315,6.735023669447912,3.991443794057916,2.743579875389996
1508112000.0,2017-10-16,ETH/USDT,337.96,354.0,332.78,335.19,8634.15,2946408.58,N/A,61.64677324178108,312.0785714285715,7.500028039733365,3.8051585314746954,3.69486950825867
1508198400.0,2017-10-17,ETH/USDT,335.19,336.58,312.65,315.19,8092.4,2620614.96,N/A,52.48291228356031,313.7007142857143,6.854660899446628,2.5278331129503666,4.326827786496262
1508284800.0,2017-10-18,ETH/USDT,315.19,318.0,284.68,309.7,12779.33,3877210.96,N/A,50.273706949582035,314.96571428571434,5.94374000020963,1.2935297709706948,4.650210229238935
1508371200.0,2017-10-19,ETH/USDT,309.7,315.0,300.0,308.66,8637.51,2662555.18,N/A,49.84566021537243,315.955,5.092420858844548,0.3537685036844902,4.738652355160058
1508457600.0,2017-10-20,ETH/USDT,308.66,311.18,302.0,304.51,8696.57,2654276.53,N/A,48.08623624215555,315.5057142857143,4.113042082600032,-0.5004882180480212,4.613530300648053
1508544000.0,2017-10-21,ETH/USDT,304.51,305.34,290.0,298.94,8498.8,2531002.63,N/A,45.751998925555604,314.64357142857136,2.956424130476819,-1.3256849361369873,4.282109066613806
1508630400.0,2017-10-22,ETH/USDT,298.94,306.99,290.0,293.79,7149.29,2113555.82,N/A,43.642540535578455,313.40928571428566,1.693889486126352,-2.0705756643899633,3.7644651505163154
1508716800.0,2017-10-23,ETH/USDT,293.79,294.6,272.2,281.09,9580.48,2720877.48,N/A,38.88166410711051,312.25928571428574,-0.08857796414133645,-3.0824344917261217,2.9938565275847853
1508803200.0,2017-10-24,ETH/USDT,281.09,310.0,275.5,297.38,13991.58,4230858.49,N/A,46.88540156700826,312.1692857142857,-0.5527449011300405,-2.837281142971861,2.2845362418418205
1508889600.0,2017-10-25,ETH/USDT,297.38,300.0,281.0,294.49,9624.76,2818151.89,N/A,45.74097437820672,311.48928571428576,-1.091024592282679,-2.7004486672995993,1.6094240750169206
1508976000.0,2017-10-26,ETH/USDT,294.49,299.76,291.03,294.71,7760.28,2290879.1,N/A,45.849333096170845,310.82642857142855,-1.4991648422961248,-2.4868711338504363,0.9877062915543118
1509062400.0,2017-10-27,ETH/USDT,294.71,298.1,292.03,296.33,6230.29,1840292.6,N/A,46.69353967067934,307.8528571428571,-1.7158782296669983,-2.162867616977048,0.4469893873100498
1509148800.0,2017-10-28,ETH/USDT,296.33,297.0,290.1,291.87,5833.59,1711301.74,N/A,44.63061976885419,304.2721428571428,-2.1371333851654413,-2.067298217980393,-0.06983516718504845
1509235200.0,2017-10-29,ETH/USDT,291.87,309.4,291.86,305.0,8975.34,2702954.94,N/A,51.433281551115684,301.9178571428571,-1.675996081452638,-1.2849287314140716,-0.3910673500385664
1509321600.0,2017-10-30,ETH/USDT,305.0,316.0,302.1,307.25,8863.26,2725859.28,N/A,52.51002838185311,299.92214285714283,-1.1560612468045406,-0.6119951174127793,-0.5440661293917612
1509408000.0,2017-10-31,ETH/USDT,307.25,309.99,304.01,304.9,7631.45,2344790.92,N/A,51.23244299665449,299.1871428571429,-0.8666709597728754,-0.2580838643048913,-0.6085870954679842
1509494400.0,2017-11-01,ETH/USDT,304.9,305.9,286.34,287.01,9807.45,2938149.94,N/A,42.71261209229625,297.5664285714286,-1.6860326211941015,-0.8619564205808938,-0.8240762006132076
1509580800.0,2017-11-02,ETH/USDT,287.01,293.0,274.73,283.12,13163.53,3736468.51,N/A,41.11167230908649,295.7421428571429,-2.557411410026589,-1.3866681675307049,-1.170743242495884
1509667200.0,2017-11-03,ETH/USDT,283.12,307.0,282.0,304.08,8057.59,2360525.71,N/A,51.631484455007154,295.7114285714286,-1.9893335352869599,-0.6548722342328608,-1.334461301054099
1509753600.0,2017-11-04,ETH/USDT,304.08,304.99,292.11,298.04,7765.91,2315342.78,N/A,48.91947680362032,295.6471428571429,-1.8717467613818712,-0.4298283682622175,-1.4419183931196538
1509840000.0,2017-11-05,ETH/USDT,298.04,302.14,293.13,295.53,6614.04,1967164.34,N/A,47.79593628636392,295.77142857142854,-1.9076413575185143,-0.37257837151908824,-1.535062985999426
1509926400.0,2017-11-06,ETH/USDT,295.53,305.58,290.11,297.97,7466.26,2218959.5,N/A,49.021662272214705,296.9771428571429,-1.7730121681711921,-0.19035934573741287,-1.5826528224337792
1510012800.0,2017-11-07,ETH/USDT,297.97,303.52,287.0,291.78,9302.34,2731426.72,N/A,46.06663765472577,296.57714285714286,-2.014279982466064,-0.3453017280258279,-1.6689782544402363
1510099200.0,2017-11-08,ETH/USDT,291.78,320.0,290.02,303.02,15603.8,4729826.12,N/A,51.75381056914488,297.1864285714286,-1.521921759542522,0.11764519591817146,-1.6395669554606935
1510185600.0,2017-11-09,ETH/USDT,303.02,329.0,299.5,317.87,11093.28,3509086.96,N/A,58.0479574442399,298.84071428571434,-0.23178815586760493,1.126223039674471,-1.358011195542076
1510272000.0,2017-11-10,ETH/USDT,317.87,322.65,285.82,293.5,15463.01,4721270.61,N/A,47.17191036440304,298.6385714285715,-0.6383546402681191,0.5757252442191656,-1.2140798844872847
1510358400.0,2017-11-11,ETH/USDT,293.5,318.0,291.91,310.02,10764.3,3256927.49,N/A,53.528317798753825,299.935,0.020656004499528535,0.9877887111894506,-0.967132706689922
1510444800.0,2017-11-12,ETH/USDT,310.02,316.99,281.01,305.24,20889.35,6276531.03,N/A,51.59391100801838,299.95214285714286,0.26602843791062014,0.9865289156804338,-0.7205004777698136
1510531200.0,2017-11-13,ETH/USDT,305.24,318.88,303.7,312.99,15399.84,4804508.58,N/A,54.46699931052429,300.3621428571428,0.919564060396965,1.3120516305334229,-0.39248757013645785
1510617600.0,2017-11-14,ETH/USDT,312.99,337.54,312.94,335.61,17479.57,5682689.3,N/A,61.626128193393455,302.5557142857143,2.7753685568573587,2.5342849015950533,0.24108365526230546
1510704000.0,2017-11-15,ETH/USDT,335.61,339.0,324.0,331.33,15409.67,5116263.34,N/A,59.71302313541796,305.7214285714286,3.9835537102454737,2.9939760439865344,0.9895776662589392
1510790400.0,2017-11-16,ETH/USDT,331.33,334.75,321.41,331.49,14065.86,4612016.7,N/A,59.7633102917789,309.1764285714286,4.923222747307648,3.1469160648389667,1.776306682468681
1510876800.0,2017-11-17,ETH/USDT,331.49,334.6,323.84,331.23,18033.21,5951281.48,N/A,59.63304837695076,311.11571428571426,5.61324631781622,3.0695517082780306,2.543694609538189
1510963200.0,2017-11-18,ETH/USDT,331.23,349.9,326.01,346.66,14227.06,4735608.57,N/A,64.56872656986525,314.5885714285714,7.025899836690371,3.5857641817217454,3.4401356549686257
1511049600.0,2017-11-19,ETH/USDT,346.66,373.56,343.07,354.15,19280.47,6853939.68,N/A,66.69735650308114,318.7757142857143,8.53397093369614,4.0750682229820105,4.458902710714129
1511136000.0,2017-11-20,ETH/USDT,354.15,372.5,353.9,367.42,18060.1,6522412.41,N/A,70.12216517151306,323.7364285714286,10.446235681330847,4.789866376493375,5.656369304837472
1511222400.0,2017-11-21,ETH/USDT,367.42,375.5,350.02,362.12,25815.42,9403802.37,N/A,67.15183241962266,328.7607142857143,11.563522348629533,4.7257224350336475,6.837799913595886
1511308800.0,2017-11-22,ETH/USDT,362.12,384.84,359.0,380.65,17927.22,6582637.83,N/A,71.67016383256625,334.30571428571426,13.443976860919804,5.284941557859135,8.15903530306067
1511395200.0,2017-11-23,ETH/USDT,380.65,425.0,370.02,405.0,25137.24,9979407.1,N/A,76.28626329668027,340.5292857142857,16.26316651289676,6.483304967868872,9.779861545027888
1511481600.0,2017-11-24,ETH/USDT,405.0,475.0,392.8,469.0,29973.4,12904066.22,N/A,83.77114176903925,353.065,22.157447922380527,9.90206910188211,12.255378820498416
1511568000.0,2017-11-25,ETH/USDT,469.0,484.47,450.0,461.82,21143.58,9825209.52,N/A,80.69394777351845,363.90785714285715,26.243106357918066,11.19018202993572,15.052924327982346
1511654400.0,2017-11-26,ETH/USDT,461.82,465.0,436.14,462.84,21559.21,9794537.68,N/A,80.80183760468414,375.16499999999996,29.322974422407015,11.416040075539733,17.90693434686728
1511740800.0,2017-11-27,ETH/USDT,462.84,486.94,453.0,472.31,23533.56,11092308.97,N/A,81.81777856406669,386.545,32.06604904776327,11.32729176071679,20.738757287046482
1511827200.0,2017-11-28,ETH/USDT,472.31,477.5,453.5,466.17,23650.24,11077396.79,N/A,78.90235376592067,395.8707142857143,33.586728200972516,10.278376731140824,23.308351469831692
1511913600.0,2017-11-29,ETH/USDT,466.17,515.0,385.0,421.7,50344.11,23217199.77,N/A,61.742245558623345,402.32571428571424,31.8400462552666,6.825355828347927,25.014690426918673
1512000000.0,2017-11-30,ETH/USDT,421.7,460.0,387.01,427.43,44559.85,18862295.63,N/A,62.86299646297558,409.17857142857144,30.46347386668515,4.359026751813179,26.10444711487197
1512086400.0,2017-12-01,ETH/USDT,427.43,465.97,413.74,457.51,32723.55,14317733.79,N/A,68.1395403331363,418.1985714285715,30.840461714201922,3.788811679463958,27.051650034737964
1512172800.0,2017-12-02,ETH/USDT,457.51,471.91,445.0,457.63,25506.76,11749838.63,N/A,68.15897682167905,426.125,30.845496784784928,3.035077400037572,27.810419384747355
1512259200.0,2017-12-03,ETH/USDT,457.63,485.9,440.11,460.3,24259.95,11328969.12,N/A,68.61771515051497,433.70714285714286,30.703112613921633,2.3141545833394197,28.388958030582213
1512345600.0,2017-12-04,ETH/USDT,460.3,470.98,445.0,466.67,22821.77,10495993.46,N/A,69.73790058474272,440.7964285714285,30.66309457444936,1.8193092350937157,28.843785339355644
1512432000.0,2017-12-05,ETH/USDT,466.67,468.67,445.21,452.26,25124.57,11542893.64,N/A,64.158721592427,447.235,29.474210028458515,0.5043397512822949,28.96987027717622
1512518400.0,2017-12-06,ETH/USDT,452.26,455.1,400.0,411.01,37604.29,16319473.42,N/A,51.46572470126274,449.40357142857147,25.784619120900913,-2.5482009250202466,28.33282004592116
1512604800.0,2017-12-07,ETH/USDT,411.01,427.61,375.01,406.33,40363.47,16448315.18,N/A,50.25104942643146,449.49857142857144,22.291840055617286,-4.832783992243101,27.124624047860387
