unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1502928000.0,2017-08-17,BTC/USDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11,N/A,N/A,N/A,N/A,N/A,N/A
1503014400.0,2017-08-18,BTC/USDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56,N/A,N/A,N/A,N/A,N/A,N/A
1503100800.0,2017-08-19,BTC/USDT,4108.37,4184.69,3850.0,4139.98,371.15,1508239.39,N/A,N/A,N/A,N/A,N/A,N/A
1503187200.0,2017-08-20,BTC/USDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35,N/A,N/A,N/A,N/A,N/A,N/A
1503273600.0,2017-08-21,BTC/USDT,4086.29,4119.62,3911.79,4016.0,685.12,2770592.06,N/A,N/A,N/A,N/A,N/A,N/A
1503360000.0,2017-08-22,BTC/USDT,4016.0,4104.82,3400.0,4040.0,939.91,3648726.5,N/A,N/A,N/A,N/A,N/A,N/A
1503446400.0,2017-08-23,BTC/USDT,4040.0,4265.8,4013.89,4114.01,980.5,4062506.52,N/A,N/A,N/A,N/A,N/A,N/A
1503532800.0,2017-08-24,BTC/USDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8,N/A,N/A,N/A,N/A,N/A,N/A
1503619200.0,2017-08-25,BTC/USDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79,N/A,N/A,N/A,N/A,N/A,N/A
1503705600.0,2017-08-26,BTC/USDT,4280.68,4367.0,4212.41,4337.44,225.76,967753.32,N/A,N/A,N/A,N/A,N/A,N/A
1503792000.0,2017-08-27,BTC/USDT,4337.44,4400.0,4285.54,4310.01,347.47,1507589.96,N/A,N/A,N/A,N/A,N/A,N/A
1503878400.0,2017-08-28,BTC/USDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75,N/A,N/A,N/A,N/A,N/A,N/A
1503964800.0,2017-08-29,BTC/USDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83,N/A,N/A,N/A,N/A,N/A,N/A
1504051200.0,2017-08-30,BTC/USDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68,N/A,N/A,4254.512857142857,N/A,N/A,N/A
1504137600.0,2017-08-31,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,N/A,76.10633327400058,4285.927857142857,N/A,N/A,N/A
1504224000.0,2017-09-01,BTC/USDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29,N/A,79.09840527696574,4337.823571428571,N/A,N/A,N/A
1504310400.0,2017-09-02,BTC/USDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36,N/A,54.75204706329226,4361.549285714286,N/A,N/A,N/A
1504396800.0,2017-09-03,BTC/USDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5,N/A,56.22944847056811,4391.748571428571,N/A,N/A,N/A
1504483200.0,2017-09-04,BTC/USDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61,N/A,40.47336873981056,4397.756428571428,N/A,N/A,N/A
1504569600.0,2017-09-05,BTC/USDT,4100.11,4484.99,3603.0,4366.47,1175.2,4863148.22,N/A,50.250948910804446,4421.075714285714,N/A,N/A,N/A
1504656000.0,2017-09-06,BTC/USDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96,N/A,57.414561210268666,4457.2014285714295,N/A,N/A,N/A
1504742400.0,2017-09-07,BTC/USDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92,N/A,59.208599490822046,4484.03,N/A,N/A,N/A
1504828800.0,2017-09-08,BTC/USDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93,N/A,47.05919606655372,4484.181428571429,N/A,N/A,N/A
1504915200.0,2017-09-09,BTC/USDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35,N/A,46.45675789252268,4478.5650000000005,N/A,N/A,N/A
1505001600.0,2017-09-10,BTC/USDT,4258.81,4283.0,3801.0,4130.37,648.94,2653218.2,N/A,43.26342900130767,4465.733571428571,N/A,N/A,N/A
1505088000.0,2017-09-11,BTC/USDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88,N/A,45.70726410837563,4453.003571428571,5.649665384465152,N/A,N/A
1505174400.0,2017-09-12,BTC/USDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23,N/A,44.52387263544577,4422.735,-5.373458091298744,N/A,N/A
1505260800.0,2017-09-13,BTC/USDT,4163.72,4165.38,3760.0,3944.69,901.25,3522155.98,N/A,39.17732722404628,4379.131428571429,-27.145658825268583,N/A,N/A
1505347200.0,2017-09-14,BTC/USDT,3944.69,3993.0,3165.13,3189.02,1642.54,5831847.65,N/A,27.09053279053938,4269.426428571429,-89.12951710487141,N/A,N/A
1505433600.0,2017-09-15,BTC/USDT,3189.02,3856.0,2817.0,3700.0,1949.32,6525220.95,N/A,40.465719304547534,4188.361428571428,-107.70906246894947,N/A,N/A
